genus,root_diameter_mean,SRL_mean,RTD_mean,root_N_mean,root_P_mean,mycorrhizal_colonization_mean,EcoBank_amf_richness_mean,GlobalAMFungi_amf_richness_mean,EcoBank_prop_cult_mean,EcoBank_prop_ancestral_mean,EcoBank_prop_edaphophilic_mean,EcoBank_prop_rhizophilic_mean,n_species,n_fred_records,n_species_in_ecobank,n_species_in_globalamfungi
berberis,0.287571867,28.980019084875,0.3549829463333333,19.045416666666668,2.59,76.875,20.3,,4.5880964694,1.8159915986000001,0.0,95.171147451,12,33.0,1,0
berteroa,0.19,237.0,0.15,,,,,,,,,,1,1.0,0,0
berula,1.83482625,609.0571429,0.027293557,,,,,,,,,,1,3.0,0,0
beta,,,,,,,,,,,,,1,11.0,0,0
betonica,2.40047056,227.3230769,0.099414121,,,,,1.0,,,,,4,17.0,0,1
betula,0.34338818208954247,49.9603185529175,0.3463351006729167,14.2164905572,1.0968284512857143,52.271345276333335,,,,,,,14,2444.0,0,0
bidens,,59.83,0.091,8.5,,63.0,,,,,,,3,7.0,0,0
biebersteinia,,,,,,,8.0,,2.3513496965,0.0,0.1113585745,99.888641425,2,1.0,1,0
biophytum,,,,,,26.825,,,,,,,1,2.0,0,0
biscutella,,,,,,,,,,,,,2,3.0,0,0
biserrula,0.279099456,264.2387351,,,,,,,,,,,1,4.0,0,0
bistorta,,,,,,,1.5,,0.0,0.0,0.0,100.0,2,0.0,2,0
bituminaria,0.41214396825,112.61477522,0.091,17.71,1.6,,,,,,,,1,7.0,0,0
blastus,0.182933333,223.91187645,0.1887879425,17.141012834999998,,,,,,,,,2,2.0,0,0
blechnopsis,0.2088,185.3453333,0.15,14.55982333,,,,,,,,,1,1.0,0,0
blepharispermum,,,,,,,,,,,,,1,1.0,0,0
blepharocalyx,0.527,6.15,0.607,,,,,,,,,,1,1.0,0,0
blumeodendron,0.4535,24.8057927,0.249621014,,,,,,,,,,1,1.0,0,0
blysmus,,,,,,,11.0,,42.79840467,0.0,0.0,100.0,1,1.0,1,0
boerhavia,,,,,,,,,,,,,3,3.0,0,0
bolboschoenoplectus,,,,8.3,,,,,,,,,1,5.0,0,0
bolboschoenus,,,,,,,,,,,,,1,2.0,0,0
